"","filename","variable","group_id","mean","sd","n","r","se","error_type","plot_type"
"1","Col(2003)_HornL_Time.png","Horn length (cm)","point1 ",63.8815789473684,NA,NA,NA,0.986842105263158,"se","xy_mean_error"
"2","Col(2003)_HornL_Time.png","","point1 ",1975.35830618892,NA,NA,NA,0,"se","xy_mean_error"
"3","Col(2003)_HornL_Time.png","Horn length (cm)","point 2",66.1842105263158,NA,NA,NA,0.657894736842081,"se","xy_mean_error"
"4","Col(2003)_HornL_Time.png","","point 2",1976.15635179153,NA,NA,NA,0,"se","xy_mean_error"
"5","Col(2003)_HornL_Time.png","Horn length (cm)","point 3",59.6052631578947,NA,NA,NA,3.61842105263156,"se","xy_mean_error"
"6","Col(2003)_HornL_Time.png","","point 3",1980.48859934853,NA,NA,NA,0,"se","xy_mean_error"
"7","Col(2003)_HornL_Time.png","Horn length (cm)","Point 4",65.5263157894737,NA,NA,NA,8.22368421052633,"se","xy_mean_error"
"8","Col(2003)_HornL_Time.png","","Point 4",1981.38647711775,NA,NA,NA,0,"se","xy_mean_error"
"9","Col(2003)_HornL_Time.png","Horn length (cm)","Point 5",64.2105263157895,NA,NA,NA,2.96052631578948,"se","xy_mean_error"
"10","Col(2003)_HornL_Time.png","","Point 5",1982.1986970684,NA,NA,NA,0,"se","xy_mean_error"
"11","Col(2003)_HornL_Time.png","Horn length (cm)","Point 6",61.9078947368421,NA,NA,NA,2.63157894736843,"se","xy_mean_error"
"12","Col(2003)_HornL_Time.png","","Point 6",1983.11074918567,NA,NA,NA,0,"se","xy_mean_error"
"13","Col(2003)_HornL_Time.png","Horn length (cm)","Point 7 ",64.5394736842105,NA,NA,NA,0,"se","xy_mean_error"
"14","Col(2003)_HornL_Time.png","","Point 7 ",1983.90879478827,NA,NA,NA,0,"se","xy_mean_error"
"15","Col(2003)_HornL_Time.png","Horn length (cm)","Point 8 ",66.1842105263158,NA,NA,NA,3.28947368421052,"se","xy_mean_error"
"16","Col(2003)_HornL_Time.png","","Point 8 ",1984.82084690554,NA,NA,NA,0,"se","xy_mean_error"
"17","Col(2003)_HornL_Time.png","Horn length (cm)","Point 9 ",73.0921052631579,NA,NA,NA,0.657894736842138,"se","xy_mean_error"
"18","Col(2003)_HornL_Time.png","","Point 9 ",1985.7328990228,NA,NA,NA,0,"se","xy_mean_error"
"19","Col(2003)_HornL_Time.png","Horn length (cm)","Point 10 ",62.8947393517745,NA,NA,NA,0.657894736842096,"se","xy_mean_error"
"20","Col(2003)_HornL_Time.png","","Point 10 ",1986.64495114007,NA,NA,NA,0,"se","xy_mean_error"
"21","Col(2003)_HornL_Time.png","Horn length (cm)","Point 11",61.5789498780903,NA,NA,NA,0.986842105263165,"se","xy_mean_error"
"22","Col(2003)_HornL_Time.png","","Point 11",1987.44299674267,NA,NA,NA,0,"se","xy_mean_error"
"23","Col(2003)_HornL_Time.png","Horn length (cm)","Point 12 ",57.6315814570377,NA,NA,NA,1.64473684210526,"se","xy_mean_error"
